user,product,images,content,score,total,like,dislike
채송*,무드인핸서 리퀴드 마뜨 오운 스킨,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/95/92/image1/thumbnail_0a8db76390a8c477.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/95/92/image1/thumbnail_0a8db76390a8c477.jpg']",힌스 디자인 미친거아닌가요ㅠㅅㅠ너무 고급져요 진짜 브랜드만의 색깔이 뚜렷해서너무 멋있는 것 같아요. 장수할거같은 브랜드.점점 더 자리잡을거 같은 브랜드에요오운스킨컬러 베이스립으로 완전 찰떡일 것 같아서망설임 없이 구입했어요,- 아주 좋아요,0,0,0
Chin Wei tin*,무드인핸서 리퀴드 마뜨 포인트 오브 뷰,[],商品很好看！推薦,- 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 포인트 오브 뷰,[],3번째인데 역시 좋아요^^(2020-08-10 20:42:07 에 등록된 네이버 페이 구매평),- 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 포인트 오브 뷰,[],만족마음에 들어요. 제형은 썩 마음에 들지 않지만 색은 정말 이쁘네요.(2020-08-07 17:13:26 에 등록된 네이버 페이 구매평),- 아주 좋아요,0,0,0
유영*,무드인핸서 리퀴드 마뜨 포인트 오브 뷰,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/96/58/image1/thumbnail_2e3a7df45c8138a1.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/96/58/image1/thumbnail_2e3a7df45c8138a1.jpg']",리퀴드인데도 정말 얇게 바르고 이 컬러는 이 컬렌션 중에 웜톤한테 제일 잘어울리는것 같아요!,- 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 포인트 오브 뷰,[],만족예쁩니다 색도 특이하구요(2020-07-28 21:59:40 에 등록된 네이버 페이 구매평),- 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 언체인드,[],무드있고 좋아요.친구들이 이쁘다고그러네요(2020-08-21 14:56:57 에 등록된 네이버 페이 구매평),- 아주 좋아요,0,0,0
YUANHAIXI*,무드인핸서 리퀴드 마뜨 언체인드,[],색깔 넘 이쁘다,- 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 언체인드,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/97/47/image1/thumbnail_275b7bd9fb073943.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/97/47/image1/thumbnail_275b7bd9fb073943.jpg']",너무 이쁜 색이에요 마음에 쏙들어요(2020-08-07 13:51:34 에 등록된 네이버 페이 구매평),- 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 언체인드,[],만족존예탱 입니다. 그리고 마스크에 묻지도 않고 뭘 먹어도 입술에 그대로 남아있어요. 색깔별로 다 갖고 싶어요.(2020-08-04 20:26:20 에 등록된 네이버 페이 구매평),- 아주 좋아요,0,0,0
